,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,2.3,110.00000,23.00000,36.66667,2.66667,82.59847,8.50413,2.14667,2.00667,1.25333,0.45680,7.66667
1,5.5,406.00000,30.47214,9.90244,4.68293,19.81318,11.45615,2.70024,1.67683,0.86829,0.52291,0.74322
2,5.5,406.00000,30.47246,10.41026,4.92308,20.93137,11.54141,2.75359,1.70385,0.89436,0.49750,0.78135
3,5.5,476.00000,61.14214,11.60976,4.68293,23.65964,11.48740,2.76366,1.71463,0.84878,0.51947,1.49127
4,5.5,476.00000,61.14246,12.20513,4.92308,24.97509,11.57425,2.82026,1.74359,0.87385,0.49389,1.56776
5,6,113.00000,13.51299,11.30000,4.70000,23.09969,11.10535,2.72000,1.76300,0.89600,0.49411,1.35130
6,5.5,136.00000,9.50932,11.33333,4.66667,22.71843,10.95856,2.59917,1.76583,0.97000,0.49907,0.79244
7,3.8,41.00000,9.44000,20.50000,4.00000,43.49852,8.89700,2.06500,1.92500,1.16500,0.47702,4.72000
8,6.3,130.00000,10.67066,10.00000,4.92308,20.17043,11.11729,2.75077,1.73615,0.87538,0.49661,0.82082
9,5.8,226.00000,20.68040,10.76190,4.76190,21.72523,11.48588,2.76476,1.69810,0.85810,0.52063,0.98478
10,5.8,236.00000,32.46040,11.23810,4.76190,23.14047,11.61167,2.81714,1.67333,0.81524,0.51644,1.54573
11,5.8,302.00000,30.89440,14.38095,4.76190,31.25266,11.43116,2.77619,1.70857,0.86762,0.51253,1.47116
12,5.8,300.00000,29.88840,14.28571,4.76190,31.13737,11.43480,2.77429,1.70952,0.87714,0.51219,1.42326
13,5.8,264.00000,26.51840,12.57143,4.76190,26.37550,11.49579,2.78571,1.69905,0.86000,0.51488,1.26278
14,5.8,366.00000,41.02040,17.42857,4.76190,40.00710,11.50430,2.79333,1.71143,0.87333,0.51004,1.95335
15,5.8,239.00000,25.85540,11.38095,4.71429,23.09968,11.57714,2.77524,1.70762,0.85810,0.51986,1.23121
16,5.8,249.00000,37.63540,11.85714,4.71429,24.51492,11.70293,2.82762,1.68286,0.81524,0.51567,1.79216
17,5.8,315.00000,36.06940,15.00000,4.71429,32.62711,11.52243,2.78667,1.71810,0.86762,0.51175,1.71759
18,5.8,313.00000,35.06340,14.90476,4.71429,32.51182,11.52607,2.78476,1.71905,0.87714,0.51141,1.66969
19,5.8,277.00000,31.69340,13.19048,4.71429,27.74995,11.58706,2.79619,1.70857,0.86000,0.51411,1.50921
20,5.8,379.00000,46.19540,18.04762,4.71429,41.38155,11.59557,2.80381,1.72095,0.87333,0.50927,2.19978
21,5.8,222.00000,17.34640,10.57143,4.76190,21.34532,11.43472,2.75095,1.70143,0.86952,0.52034,0.82602
22,5.8,232.00000,29.12640,11.04762,4.76190,22.76056,11.56051,2.80333,1.67667,0.82667,0.51615,1.38697
23,5.8,298.00000,27.56040,14.19048,4.76190,30.87275,11.38000,2.76238,1.71190,0.87905,0.51224,1.31240
24,5.8,296.00000,26.55440,14.09524,4.76190,30.75746,11.38364,2.76048,1.71286,0.88857,0.51190,1.26450
25,5.8,260.00000,23.18440,12.38095,4.76190,25.99559,11.44463,2.77190,1.70238,0.87143,0.51459,1.10402
26,5.8,362.00000,37.68640,17.23810,4.76190,39.62720,11.45315,2.77952,1.71476,0.88476,0.50975,1.79459
27,5.8,235.00000,22.52140,11.19048,4.71429,22.71977,11.52599,2.76143,1.71095,0.86952,0.51957,1.07245
28,5.8,245.00000,34.30140,11.66667,4.71429,24.13502,11.65178,2.81381,1.68619,0.82667,0.51538,1.63340
29,5.8,311.00000,32.73540,14.80952,4.71429,32.24720,11.47127,2.77286,1.72143,0.87905,0.51146,1.55883
30,5.8,309.00000,31.72940,14.71429,4.71429,32.13191,11.47491,2.77095,1.72238,0.88857,0.51112,1.51092
31,5.8,273.00000,28.35940,13.00000,4.71429,27.37004,11.53590,2.78238,1.71190,0.87143,0.51382,1.35045
32,5.8,375.00000,42.86140,17.85714,4.71429,41.00165,11.54441,2.79000,1.72429,0.88476,0.50898,2.04102
33,3.5,84.00000,12.42100,42.00000,5.00000,98.34080,9.19850,2.03000,1.95500,1.30000,0.42968,6.21050
34,6.8,242.00000,36.02598,12.10000,4.80000,24.88692,11.17756,2.78450,1.71700,0.86500,0.49280,1.80130
35,3,134.00000,17.59000,67.00000,5.00000,167.40000,8.21315,1.95000,2.04000,1.41000,0.40164,8.79500
36,1.5,180.00000,7.41949,5.00000,3.33333,9.55968,13.09373,2.69444,1.33556,0.52444,0.74503,0.20610
37,3.8,208.00000,12.97815,8.00000,4.30769,15.93055,12.12546,2.77577,1.52885,0.71846,0.61086,0.49916
38,1.8,15300.00000,643.09380,9.59248,5.98997,19.19593,12.95893,3.26469,1.57570,0.72010,0.50040,0.40319
39,5.8,72.00000,5.43991,9.00000,5.00000,18.48598,11.71993,2.81500,1.62625,0.84875,0.48401,0.67999
40,5.8,72.00000,5.43974,8.00000,4.44444,16.21070,11.50590,2.68667,1.57333,0.79444,0.54339,0.60442
41,5.8,80.00000,5.87691,10.00000,5.00000,20.49245,11.68835,2.80875,1.68250,0.88625,0.48980,0.73461
